TaxonomyID	TaxonomyName	TaxonomyRank	G3825-1.BBH.direct.counts	G3825-1.BBH.direct.percentage	G3825-1.BBH.cumulative.counts	G3825-1.BBH.cumulative.percentage	G3825-1.LCA.direct.counts	G3825-1.LCA.direct.percentage	G3825-1.LCA.cumulative.counts	G3825-1.LCA.cumulative.percentage
259020	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
1051626	Hymenobacter ginsengisoli	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1259734	Compostimonas	genus	0	0	2	7.92E-05	0	0	0	0
85024	unclassified Mycobacteriaceae	no rank	0	0	1	3.96E-05	0	0	0	0
68892	Streptococcus infantis	species	5	1.98E-04	5	1.98E-04	0	0	0	0
644552	Streptomyces sp. JMCNT25	species	2	7.92E-05	2	7.92E-05	0	0	0	0
171951	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
2034	Curtobacterium	genus	0	0	6	2.38E-04	2	7.92E-05	2	7.92E-05
349276	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
191214	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
430693	uncultured Sulfuricurvum sp.	species	1	3.96E-05	1	3.96E-05	0	0	0	0
929837	Anabaena bergii CHAB1000	no rank	55	0.002177956	55	0.002177956	0	0	0	0
592361	Pseudomonas peli	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1129771	Leptotrichiaceae	family	0	0	66	0.002613548	0	0	23	9.11E-04
171292	uncultured Mycobacterium sp.	species	110	0.004355913	110	0.004355913	0	0	0	0
32205	Leptonema	genus	0	0	2	7.92E-05	0	0	0	0
340709	environmental samples	no rank	0	0	3	1.19E-04	0	0	0	0
71	Simonsiella	genus	0	0	2	7.92E-05	0	0	0	0
200667	Flammeovirgaceae	family	0	0	4	1.58E-04	0	0	0	0
735519	Rhizobium halophytocola	species	1	3.96E-05	1	3.96E-05	0	0	0	0
869869	Pseudomonas sp. R212(2010)	species	3	1.19E-04	3	1.19E-04	0	0	0	0
114705	environmental samples	no rank	0	0	8	3.17E-04	0	0	0	0
82796	unclassified Micromonosporaceae	no rank	0	0	2	7.92E-05	0	0	0	0
626077	uncultured Stigonematales cyanobacterium	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1293498	Nitrospinia	class	0	0	1	3.96E-05	0	0	0	0
1137097	Oscillatoria sp. N9DM	species	3	1.19E-04	3	1.19E-04	0	0	0	0
1186935	Pseudomonas sp. N4(2012)	species	1	3.96E-05	1	3.96E-05	0	0	0	0
206389	Rhodocyclales	order	0	0	99	0.003920322	0	0	3	1.19E-04
296824	environmental samples	no rank	0	0	6	2.38E-04	0	0	0	0
58231	Treponema medium	species	2	7.92E-05	2	7.92E-05	0	0	0	0
31977	Veillonellaceae	family	0	0	475	0.018809624	1	3.96E-05	17	6.73E-04
253813	uncultured Phyllobacterium sp.	species	7	2.77E-04	7	2.77E-04	0	0	0	0
178338	Sedimentibacter hongkongensis	species	0	0	0	0	1	3.96E-05	1	3.96E-05
453573	Actinomadura bangladeshensis	species	1	3.96E-05	1	3.96E-05	0	0	0	0
886358	uncultured Iamiaceae bacterium	species	2	7.92E-05	2	7.92E-05	0	0	0	0
217144	uncultured Blastococcus sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
868	Cardiobacteriaceae	family	0	0	1	3.96E-05	0	0	0	0
775	Rickettsiaceae	family	0	0	1	3.96E-05	0	0	0	0
128827	Erysipelotrichaceae	family	0	0	14	5.54E-04	0	0	0	0
506	Alcaligenaceae	family	0	0	13	5.15E-04	2	7.92E-05	2	7.92E-05
530577	Pseudomonas sp. gl13	species	2	7.92E-05	2	7.92E-05	0	0	0	0
2036	Curtobacterium citreum	species	1	3.96E-05	1	3.96E-05	0	0	0	0
1042322	Demequinaceae	family	0	0	1	3.96E-05	0	0	0	0
942	Anaplasmataceae	family	0	0	1	3.96E-05	0	0	0	0
326325	Deinococcus sp. iso 15	species	2	7.92E-05	2	7.92E-05	0	0	0	0
330265	Staphylococcus sp. Bt 38	species	1	3.96E-05	1	3.96E-05	0	0	0	0
543052	environmental samples	no rank	0	0	12	4.75E-04	0	0	0	0
1122283	Maricurvus	genus	0	0	1	3.96E-05	0	0	0	0
1179364	Pseudomonas sp. AMF3540	species	1	3.96E-05	1	3.96E-05	0	0	0	0
34016	Rhodobium	genus	0	0	2	7.92E-05	0	0	0	0
41672	Isosphaera sp.	species	2	7.92E-05	2	7.92E-05	0	0	0	0
114710	uncultured Comamonas sp.	species	4	1.58E-04	4	1.58E-04	0	0	0	0
358309	Microbacterium sp. 62ND15	species	2	7.92E-05	2	7.92E-05	0	0	0	0
170610	Halomicronema	genus	0	0	2	7.92E-05	0	0	0	0
1114575	Knoellia sp. LC488	species	1	3.96E-05	1	3.96E-05	0	0	0	0
904074	environmental samples	no rank	0	0	1	3.96E-05	0	0	0	0
57493	Kocuria	genus	0	0	171	0.006771465	35	0.001385972	35	0.001385972
326457	unclassified Verrucomicrobia	no rank	0	0	2	7.92E-05	0	0	0	0
634815	Sphingomonas sp. 1Ucecto5	species	1	3.96E-05	1	3.96E-05	0	0	0	0
119977	Acidithiobacillus	genus	0	0	5	1.98E-04	1	3.96E-05	1	3.96E-05
34064	Francisellaceae	family	0	0	10	3.96E-04	0	0	0	0
